ADMIRAL	C2	G2	D3	G3	B3	C4
ALL FOURTHS	E2	A2	D3	G3	C4	F4
AUG FOURTHS	C2	F#2	C3	F#3	C4	F#4
BALALAIKA E	E2	A2	D3	E3	E3	A3
BARITONE	B2	E3	A3	D4	F#4	B4
BUZZARD	C2	F2	C3	G3	A#3	F4
C A D G B E	C2	A2	D3	G3	B3	E4
C 6	C2	G2	C3	G3	A3	E4
CITTERN (1)	C2	F2	C3	G3	C4	D4
CITTERN (2)	C2	G2	C3	G3	C4	G4
COLLINS	F2	C3	F3	Ab3	C4	F4
D A E A E E	D2	A2	E3	A3	E4	E4
D MINOR	D2	A2	D3	F3	A3	D4
D MODAL	D2	A2	D3	D3	A3	D4
DADGAD	D2	A2	D3	G3	A3	D4
DOBRO	G2	B2	D3	G3	B3	D4
DROPPED A	A2	E3	A3	D4	G4	C5
DROP D	D2	A2	D3	G3	B3	E4
DOUBLE DROP D	D2	A2	D3	G3	B3	D4
FACE	C2	G2	D3	G3	A3	D4
FOUR & TWENTY	D2	A2	D3	D3	A3	D4
FOURTHS	E2	A2	D3	G3	C4	F4
G 6	D2	G2	D3	G3	B3	E4
IRIS	B2	D3	D3	D3	D3	D3
HENDRIX	Eb2	Ab2	Db3	Gb3	Bb3	Eb4
HOT TYPE	A2	B2	E3	F#3	A3	D4
KAKI KING	C2	G2	D3	G3	A3	D4
KOTTKE	C#2	F#2	B2	E3	G#3	C#4
LAYOVER	D2	A2	C3	G3	C4	E4
LEADBELLY	B2	E3	A3	D4	F#4	B4
LEFTY	E2	B2	G3	D4	A4	E5
LUTE	E2	A2	D3	F#3	B3	E4
MAGIC FARMER	C2	F2	C3	G3	A3	E4
MAJOR SIXTH	C2	A2	F#3	D#4	C5	A5
MAJOR THIRD	C2	E2	G#2	C3	E3	G#3
MANDOGUITAR	C2	G2	D3	A3	E4	B4
MAYFIELD	F#2	A#2	C#3	F#3	A#3	F#4
MINOR SIXTH	C2	G#2	E3	C4	G#4	E5
MINOR THIRD	C2	D#2	F#2	A2	C#3	D#3
MODAL D	D2	A2	D3	G3	A3	D4
MODAL G	D2	G2	D3	G3	C4	D4
NASHVILLE	E3	A3	D4	G4	B3	E4
OPEN A	E2	A2	E3	A3	C#4	E4
OPEN C	C2	G2	C3	G3	C4	E4
OPEN D	D2	A2	D3	F#3	A3	D4
OPEN D MINOR	D2	A2	D3	F3	A3	D4
OPEN E	E2	B2	E3	G#3	B3	E4
OPEN G	D2	G2	D3	G3	B3	D4
OVERTONE	C2	E2	G2	A#2	C3	D3
PELICAN	D2	A2	D3	E3	A3	D4
PENTATONIC	A2	C3	D3	E3	G3	A3
PROCESSIONAL	D2	G2	D3	F3	A3	A#3
SLOW MOTION	D2	G2	D3	F3	C4	D4
SPIRIT	C#2	A2	C#3	G#3	A3	E4
STANDARD	E2	A2	D3	G3	B3	E4
EADGBE	E2	A2	D3	G3	B3	E4
TARBOULTON	C2	A#2	C3	F3	A#3	F4
TOULOUSE	E2	C3	D3	F3	A3	D4
TRIQUEEN	D2	G2	D3	F#3	A3	B3
